date,par,uv
2011.09,80540.31952,0.614818248
2011.1,53271.01247,0.15760462
2011.11,38160.27753,0.051681136
2011.12,27621.33666,0.03150776
2012.01,23854.12001,0.028576783
2012.02,40505.65122,0.082210214
2012.03,70461.8122,0.415100128
2012.04,86946.66927,1.028176756
2012.05,107421.7507,2.037255742
2012.06,114328.4496,2.387640343
2012.07,128220.8998,2.600462225
2012.08,104240.8006,1.379696475
2012.09,86970.59342,0.646124586
2012.1,48966.72,0.120805016
2012.11,42501.66388,0.057336301
2012.12,18657.30743,0.01888474
2013.01,28701.40839,0.035460293
2013.02,35207.91162,0.068079962
2013.03,45949.07445,0.23291976
2013.04,81784.42053,1.003519484
2013.05,105403.4121,1.853425625
2013.06,95836.21275,1.969270725
2013.07,107219.4659,2.105139456
2013.08,105331.5647,1.468422953
2013.09,85900.38059,0.62328742
2013.1,52161.98115,0.153215922
2013.11,32797.11378,0.044211041
2013.12,18977.37767,0.019110519
2014.01,32675.49528,0.040683984
2014.02,38529.66957,0.079097487
2014.03,59075.48587,0.305694121
2014.04,86761.4229,0.986021367
2014.05,102166.2872,1.886081066
2014.06,109962.2028,2.323310639
2014.07,107025.9549,2.007837597
2014.08,103087.6702,1.398860417
2014.09,82447.14341,0.622578537
2014.1,42631.51337,0.123841773
2014.11,29714.69664,0.040233155
2014.12,24417.80415,0.025513971
2015.01,33324.83612,0.042413453
2015.02,51549.53276,0.116442921
2015.03,64205.51028,0.366796052
2015.04,86889.03243,1.016514395
2015.05,108485.3307,1.975213794
2015.06,106419.3849,2.288809268
2015.07,112102.6093,2.274912288
2015.08,102454.1284,1.370114508
2015.09,97578.53453,0.773112551
2015.1,57582.80866,0.164792718
2015.11,41202.25478,0.057861914
2015.12,17271.86639,0.015737832
2016.01,24234.31141,0.025145729
2016.02,31154.26045,0.065665981
2016.03,64371.33483,0.340047345
2016.04,104620.3716,1.364745348
2016.05,108228.6842,1.922690944
2016.06,110551.3746,2.392258564
2016.07,112279.5372,2.18741536
2016.08,108385.0702,1.582888838
2016.09,102320.362,0.789404418
2016.1,48202.80232,0.165627631
2016.11,35678.33862,0.048811958
2016.12,12872.21007,0.01317181
2017.01,23601.74193,0.026327043
2017.02,35827.36285,0.075817375
2017.03,61412.40291,0.332350594
2017.04,75569.75514,0.922554775
2017.05,79849.61733,1.364613535
2017.06,98461.25002,1.952931663
2017.07,101626.1888,1.944125656
2017.08,102523.5166,1.434083515
2017.09,97432.12203,0.711383202
