date,DepN,DepSO4
2010.08,0.88,0.85025
2010.09,0.875,0.851
2010.1,0.45775,0.27175
2010.11,0.83225,0.5095
2010.12,0.3245,0.1365
2011.01,1.768,0.3595
2011.02,1.0335,0.616
2011.03,0.79075,0.41925
2011.04,0.9845,0.6915
2011.05,0.996,0.745
2011.06,0.91975,0.728
2011.07,1.06525,0.915
2011.08,0.4375,0.3915
2011.09,0.775,0.6695
2011.1,0.75,0.5225
2011.11,0.7515,0.407
2011.12,1.15475,0.6055
2012.01,1.1055,0.455
2012.02,6.512,2.82325
2012.03,1.2475,0.79875
2012.04,1.01325,0.697
2012.05,1.10975,0.59775
2012.06,0.79375,0.43075
2012.07,-3.7245,-1.72825
2012.08,1.14775,0.96225
2012.09,0.65425,0.5005
2012.1,0.7545,0.494
2012.11,1.252,0.8155
2012.12,0.7885,0.393
2013.01,2.241,0.805142857
2013.02,1.802142857,0.801285714
2013.03,1.154,0.588571429
2013.04,1.497714286,0.933
2013.05,1.191714286,0.767714286
2013.06,0.769142857,0.432571429
2013.07,1.045571429,0.742714286
2013.08,0.868,0.718714286
2013.09,1.188714286,0.787285714
2013.1,0.979857143,0.625
2013.11,0.786428571,0.401
2013.12,1.618857143,0.825428571
2014.01,1.422285714,0.460571429
2014.02,1.470142857,0.556571429
2014.03,2.067428571,0.968857143
2014.04,1.130571429,0.651571429
2014.05,0.768714286,0.419714286
2014.06,0.688571429,0.404285714
2014.07,0.985428571,0.886285714
2014.08,0.766714286,0.499142857
2014.09,0.742714286,0.469428571
2014.1,-1.892285714,-0.876714286
2014.11,-1.580857143,-0.779571429
2014.12,-2.012285714,-1.019571429
2015.01,1.271333333,0.426666667
2015.02,-0.659333333,-0.916666667
2015.03,2.160833333,0.822333333
2015.04,1.006,0.488166667
2015.05,0.9075,0.510833333
2015.06,0.730166667,0.4155
2015.07,1.0275,0.6375
2015.08,0.700666667,0.420166667
2015.09,0.8085,0.504333333
2015.1,0.593666667,0.327666667
2015.11,0.689714286,0.295285714
2015.12,0.646,0.296571429
2016.01,1.453714286,0.498857143
2016.02,0.702857143,0.258142857
2016.03,1.322714286,0.618142857
2016.04,1.134857143,0.424857143
2016.05,1.088428571,0.527428571
2016.06,0.772428571,0.329571429
